"Year","Period","State","State ANSI","Data Item","Domain","Value","Chemical","Chemical_Code","Chemical_Code_num","Chemical_Code_str"
2022,"MARKETING YEAR","CALIFORNIA","06","$ / CWT","TOTAL",108,NA,NA,NA,NA
2022,"MARKETING YEAR","FLORIDA","12","$ / CWT","TOTAL",169,NA,NA,NA,NA
2022,"YEAR","CALIFORNIA","06","$","TOTAL",2684770000,NA,NA,NA,NA
2022,"YEAR","CALIFORNIA","06","CWT","TOTAL",24800000,NA,NA,NA,NA
2022,"YEAR","CALIFORNIA","06","CWT","TOTAL",20000,NA,NA,NA,NA
2022,"YEAR","CALIFORNIA","06","CWT","TOTAL",24780000,NA,NA,NA,NA
2022,"YEAR","FLORIDA","12","$","TOTAL",511300000,NA,NA,NA,NA
2022,"YEAR","FLORIDA","12","CWT","TOTAL",3020000,NA,NA,NA,NA
2022,"YEAR","FLORIDA","12","CWT","TOTAL",0,NA,NA,NA,NA
2022,"YEAR","FLORIDA","12","CWT","TOTAL",3020000,NA,NA,NA,NA
2021,"MARKETING YEAR","CALIFORNIA","06","$ / CWT","TOTAL",125,NA,NA,NA,NA
2021,"MARKETING YEAR","FLORIDA","12","$ / CWT","TOTAL",160,NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","$","TOTAL",3020410000,NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","CWT","TOTAL",24200000,NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","TONS","TOTAL",1210000,NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",1900,"AZOXYSTROBIN "," 128810",128810,"128810"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",100,"BORAX DECAHYDRATE "," 11102",11102,"011102"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",2100,"BOSCALID "," 128008",128008,"128008"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",253600,"CAPTAN "," 81301",81301,"081301"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",500,"CYFLUFENAMID "," 555550",555550,"555550"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",11300,"CYPRODINIL "," 288202",288202,"288202"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",16700,"FENHEXAMID "," 90209",90209,"090209"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",7500,"FLUDIOXONIL "," 71503",71503,"071503"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",3800,"FLUOPYRAM "," 80302",80302,"080302"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",1800,"FLUXAPYROXAD "," 138009",138009,"138009"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",2400,"MEFENOXAM "," 113502",113502,"113502"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",4100,"MYCLOBUTANIL "," 128857",128857,"128857"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",3400,"PENTHIOPYRAD "," 90112",90112,"090112"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",2300,"POLYOXIN D ZINC SALT "," 230000",230000,"230000"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",10600,"POTASSIUM BICARBON. "," 73508",73508,"073508"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",1200,"PROPICONAZOLE "," 122101",122101,"122101"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",3100,"PYRACLOSTROBIN "," 99100",99100,"099100"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",10800,"PYRIMETHANIL "," 288201",288201,"288201"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",2000,"QUINOLINE "," 55459",55459,"055459"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",591200,"SULFUR "," 77501",77501,"077501"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",800,"TETRACONAZOLE "," 120603",120603,"120603"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",9400,"THIOPHANATE-METHYL "," 102001",102001,"102001"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",96300,"THIRAM "," 79801",79801,"079801"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",1056400,NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",3900,"TRIFLOXYSTROBIN "," 129112",129112,"129112"
2021,"YEAR","CALIFORNIA","06","LB","FUNGICIDE",6300,"TRIFLUMIZOLE "," 128879",128879,"128879"
2021,"YEAR","CALIFORNIA","06","LB","HERBICIDE",500,"FLUMIOXAZIN "," 129034",129034,"129034"
2021,"YEAR","CALIFORNIA","06","LB","HERBICIDE",1700,"OXYFLUORFEN "," 111601",111601,"111601"
2021,"YEAR","CALIFORNIA","06","LB","HERBICIDE",10800,"PENDIMETHALIN "," 108501",108501,"108501"
2021,"YEAR","CALIFORNIA","06","LB","HERBICIDE",16900,NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",200,"ABAMECTIN "," 122804",122804,"122804"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",7400,"ACEQUINOCYL "," 6329",6329,"006329"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",2300,"ACETAMIPRID "," 99050",99050,"099050"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",600,"AZADIRACHTIN "," 121701",121701,"121701"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",16700,"BIFENAZATE "," 586",586,"000586"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",3400,"BIFENTHRIN "," 128825",128825,"128825"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",1800,"CHLORANTRANILIPROLE "," 90100",90100,"090100"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",1100,"CYANTRANILIPROLE "," 90098",90098,"090098"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",5500,"CYFLUMETOFEN "," 138831",138831,"138831"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",2500,"FENPROPATHRIN "," 127901",127901,"127901"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",200,"FENPYROXIMATE "," 129131",129131,"129131"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",3600,"FLONICAMID "," 128016",128016,"128016"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",3600,"FLUPYRADIFURONE "," 122304",122304,"122304"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",2600,"HEXYTHIAZOX "," 128849",128849,"128849"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",2500,"IMIDACLOPRID "," 129099",129099,"129099"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",29100,"MALATHION "," 57701",57701,"057701"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",2600,"METHOXYFENOZIDE "," 121027",121027,"121027"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",2900,"NALED "," 34401",34401,"034401"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",3100,"NEEM OIL "," 25006",25006,"025006"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",5800,"NEEM OIL, CLAR. HYD. "," 25007",25007,"025007"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",3300,"NOVALURON "," 124002",124002,"124002"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",100,"PYRETHRINS "," 69001",69001,"069001"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",2200,"SPINETORAM "," 110007",110007,"110007"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",1800,"SPINOSAD "," 110003",110003,"110003"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",700,"SPIROMESIFEN "," 24875",24875,"024875"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",600,"THIAMETHOXAM "," 60109",60109,"060109"
2021,"YEAR","CALIFORNIA","06","LB","INSECTICIDE",116700,NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","LB","OTHER",5692600,"CHLOROPICRIN "," 81501",81501,"081501"
2021,"YEAR","CALIFORNIA","06","LB","OTHER",848600,"DICHLOROPROPENE "," 29001",29001,"029001"
2021,"YEAR","CALIFORNIA","06","LB","OTHER",2600,"FLUTRIAFOL "," 128940",128940,"128940"
2021,"YEAR","CALIFORNIA","06","LB","OTHER",9400,"HYDROGEN PEROXIDE "," 595",595,"000595"
2021,"YEAR","CALIFORNIA","06","LB","OTHER",1040400,"METAM-POTASSIUM "," 39002",39002,"039002"
2021,"YEAR","CALIFORNIA","06","LB","OTHER",2000,"PEROXYACETIC ACID "," 63201",63201,"063201"
2021,"YEAR","CALIFORNIA","06","LB","OTHER",3000,"REYNOUTRIA SACHALINE "," 55809",55809,"055809"
2021,"YEAR","CALIFORNIA","06","LB","OTHER",7602900,NA,NA,NA,NA
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.237,"AZOXYSTROBIN "," 128810",128810,"128810"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.017,"BORAX DECAHYDRATE "," 11102",11102,"011102"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.372,"BOSCALID "," 128008",128008,"128008"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",1.662,"CAPTAN "," 81301",81301,"081301"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.023,"CYFLUFENAMID "," 555550",555550,"555550"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.333,"CYPRODINIL "," 288202",288202,"288202"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.627,"FENHEXAMID "," 90209",90209,"090209"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.222,"FLUDIOXONIL "," 71503",71503,"071503"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.125,"FLUOPYRAM "," 80302",80302,"080302"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.174,"FLUXAPYROXAD "," 138009",138009,"138009"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.483,"MEFENOXAM "," 113502",113502,"113502"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.105,"MYCLOBUTANIL "," 128857",128857,"128857"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.279,"PENTHIOPYRAD "," 90112",90112,"090112"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.098,"POLYOXIN D ZINC SALT "," 230000",230000,"230000"
